ID,datetime,passengers-in,passengers-out,station
1973127,2020/9/1 7:30,11,10,2n
1984550,2020/9/1 7:30,12,23,2o
1995924,2020/9/1 7:30,11,8,2p
2007413,2020/9/1 7:30,7,11,2q
2018951,2020/9/1 7:30,9,13,2r
2030391,2020/9/1 7:30,13,13,2s
2041830,2020/9/1 7:30,32,51,2t
2053407,2020/9/1 7:30,52,158,2u
2064945,2020/9/1 7:30,26,10,2v
2076453,2020/9/1 7:30,20,10,2w
2087979,2020/9/1 7:30,21,9,2x
1344412,2020/9/1 7:45,109,49,1a
1355998,2020/9/1 7:45,51,25,1b
1367684,2020/9/1 7:45,48,17,1c
1379419,2020/9/1 7:45,55,15,1d
1391354,2020/9/1 7:45,46,39,1e
1403207,2020/9/1 7:45,35,46,1f
1414996,2020/9/1 7:45,18,19,1g
1426645,2020/9/1 7:45,13,14,1h
1438360,2020/9/1 7:45,11,22,1i
1450126,2020/9/1 7:45,9,14,1j
1462083,2020/9/1 7:45,12,19,1k
1473806,2020/9/1 7:45,8,10,1l
1485495,2020/9/1 7:45,14,19,1m
1497149,2020/9/1 7:45,10,10,1n
1508657,2020/9/1 7:45,9,22,1o
1520266,2020/9/1 7:45,9,31,1p
1531877,2020/9/1 7:45,10,16,1q
1543744,2020/9/1 7:45,13,7,1r
1555450,2020/9/1 7:45,7,25,1s
1567309,2020/9/1 7:45,28,43,1t
1822557,2020/9/1 7:45,17,14,2a
1833941,2020/9/1 7:45,38,33,2b
1845526,2020/9/1 7:45,10,12,2c
1857075,2020/9/1 7:45,8,10,2d
1868788,2020/9/1 7:45,8,43,2e
1880534,2020/9/1 7:45,8,28,2f
1892253,2020/9/1 7:45,10,32,2g
1904048,2020/9/1 7:45,17,25,2h
1915719,2020/9/1 7:45,14,39,2i
1927225,2020/9/1 7:45,16,15,2j
1938712,2020/9/1 7:45,12,19,2k
1950224,2020/9/1 7:45,7,26,2l
1961682,2020/9/1 7:45,8,14,2m
1973128,2020/9/1 7:45,8,16,2n
1984551,2020/9/1 7:45,12,20,2o
1995925,2020/9/1 7:45,16,21,2p
2007414,2020/9/1 7:45,8,15,2q
2018952,2020/9/1 7:45,10,15,2r
2030392,2020/9/1 7:45,8,12,2s
2041831,2020/9/1 7:45,33,29,2t
2053408,2020/9/1 7:45,161,185,2u
2064946,2020/9/1 7:45,22,13,2v
2076454,2020/9/1 7:45,26,11,2w
2087980,2020/9/1 7:45,36,18,2x
1344413,2020/9/1 8:00,100,106,1a
1355999,2020/9/1 8:00,45,25,1b
1367685,2020/9/1 8:00,48,21,1c
1379420,2020/9/1 8:00,46,20,1d
1391355,2020/9/1 8:00,55,35,1e
1403208,2020/9/1 8:00,56,51,1f
1414997,2020/9/1 8:00,19,20,1g
1426646,2020/9/1 8:00,12,9,1h
1438361,2020/9/1 8:00,8,27,1i
1450127,2020/9/1 8:00,20,13,1j
1462084,2020/9/1 8:00,13,18,1k
1473807,2020/9/1 8:00,9,10,1l
1485496,2020/9/1 8:00,8,23,1m
1497150,2020/9/1 8:00,9,19,1n
1508658,2020/9/1 8:00,8,51,1o
1520267,2020/9/1 8:00,12,30,1p
1531878,2020/9/1 8:00,10,18,1q
1543745,2020/9/1 8:00,10,14,1r
1555451,2020/9/1 8:00,13,45,1s
1567310,2020/9/1 8:00,29,33,1t
1822558,2020/9/1 8:00,18,12,2a
1833942,2020/9/1 8:00,52,21,2b
1845527,2020/9/1 8:00,19,13,2c
1857076,2020/9/1 8:00,14,15,2d
1868789,2020/9/1 8:00,12,29,2e
1880535,2020/9/1 8:00,13,53,2f
1892254,2020/9/1 8:00,14,34,2g
1904049,2020/9/1 8:00,23,37,2h
1915720,2020/9/1 8:00,19,45,2i
1927226,2020/9/1 8:00,7,21,2j
1938713,2020/9/1 8:00,9,42,2k
1950225,2020/9/1 8:00,8,29,2l
1961683,2020/9/1 8:00,10,69,2m
1973129,2020/9/1 8:00,10,15,2n
1984552,2020/9/1 8:00,7,26,2o
1995926,2020/9/1 8:00,9,26,2p
2007415,2020/9/1 8:00,8,31,2q
2018953,2020/9/1 8:00,11,15,2r
2030393,2020/9/1 8:00,14,50,2s
2041832,2020/9/1 8:00,32,31,2t
2053409,2020/9/1 8:00,102,187,2u
2064947,2020/9/1 8:00,33,21,2v
2076455,2020/9/1 8:00,23,8,2w
2087981,2020/9/1 8:00,39,18,2x
1344414,2020/9/1 8:15,107,48,1a
1356000,2020/9/1 8:15,39,64,1b
1367686,2020/9/1 8:15,46,15,1c
1379421,2020/9/1 8:15,63,152,1d
1391356,2020/9/1 8:15,56,35,1e
1403209,2020/9/1 8:15,52,111,1f
1414998,2020/9/1 8:15,21,24,1g
1426647,2020/9/1 8:15,7,9,1h
1438362,2020/9/1 8:15,10,36,1i
1450128,2020/9/1 8:15,23,44,1j
1462085,2020/9/1 8:15,15,28,1k
1473808,2020/9/1 8:15,11,12,1l
1485497,2020/9/1 8:15,15,45,1m
1497151,2020/9/1 8:15,15,17,1n
1508659,2020/9/1 8:15,9,66,1o
1520268,2020/9/1 8:15,7,44,1p
1531879,2020/9/1 8:15,10,19,1q
1543746,2020/9/1 8:15,12,9,1r
1555452,2020/9/1 8:15,12,31,1s
1567311,2020/9/1 8:15,31,51,1t
1822559,2020/9/1 8:15,32,15,2a
1833943,2020/9/1 8:15,35,40,2b
1845528,2020/9/1 8:15,18,58,2c
1857077,2020/9/1 8:15,9,26,2d
1868790,2020/9/1 8:15,24,43,2e
1880536,2020/9/1 8:15,7,67,2f
1892255,2020/9/1 8:15,12,37,2g
1904050,2020/9/1 8:15,26,50,2h
1915721,2020/9/1 8:15,26,53,2i
1927227,2020/9/1 8:15,11,31,2j
1938714,2020/9/1 8:15,13,42,2k
1950226,2020/9/1 8:15,12,42,2l
1961684,2020/9/1 8:15,12,17,2m
1973130,2020/9/1 8:15,10,16,2n
1984553,2020/9/1 8:15,15,45,2o
1995927,2020/9/1 8:15,20,28,2p
2007416,2020/9/1 8:15,9,32,2q
2018954,2020/9/1 8:15,8,21,2r
2030394,2020/9/1 8:15,16,18,2s
2041833,2020/9/1 8:15,39,30,2t
2053410,2020/9/1 8:15,147,164,2u
2064948,2020/9/1 8:15,33,11,2v
2076456,2020/9/1 8:15,25,8,2w
2087982,2020/9/1 8:15,38,24,2x
1344415,2020/9/1 8:30,105,43,1a
1356001,2020/9/1 8:30,38,21,1b
1367687,2020/9/1 8:30,40,28,1c
1379422,2020/9/1 8:30,49,22,1d
1391357,2020/9/1 8:30,20,43,1e
1403210,2020/9/1 8:30,12,57,1f
1414999,2020/9/1 8:30,20,29,1g
1426648,2020/9/1 8:30,13,15,1h
1438363,2020/9/1 8:30,14,40,1i
1450129,2020/9/1 8:30,21,21,1j
1462086,2020/9/1 8:30,16,31,1k
1473809,2020/9/1 8:30,8,15,1l
1485498,2020/9/1 8:30,18,63,1m
1497152,2020/9/1 8:30,9,27,1n
1508660,2020/9/1 8:30,12,69,1o
1520269,2020/9/1 8:30,17,59,1p
1531880,2020/9/1 8:30,8,15,1q
1543747,2020/9/1 8:30,15,17,1r
1555453,2020/9/1 8:30,7,48,1s
1567312,2020/9/1 8:30,31,79,1t
1822560,2020/9/1 8:30,19,14,2a
1833944,2020/9/1 8:30,45,36,2b
1845529,2020/9/1 8:30,20,13,2c
1857078,2020/9/1 8:30,16,16,2d
1868791,2020/9/1 8:30,7,50,2e
1880537,2020/9/1 8:30,7,82,2f
1892256,2020/9/1 8:30,9,45,2g
1904051,2020/9/1 8:30,25,74,2h
1915722,2020/9/1 8:30,28,57,2i
1927228,2020/9/1 8:30,15,35,2j
1938715,2020/9/1 8:30,13,48,2k
1950227,2020/9/1 8:30,7,40,2l
1961685,2020/9/1 8:30,19,15,2m
1973131,2020/9/1 8:30,14,19,2n
1984554,2020/9/1 8:30,10,105,2o
1995928,2020/9/1 8:30,11,39,2p
2007417,2020/9/1 8:30,14,47,2q
2018955,2020/9/1 8:30,14,22,2r
2030395,2020/9/1 8:30,12,21,2s
2041834,2020/9/1 8:30,30,42,2t
2053411,2020/9/1 8:30,119,171,2u
2064949,2020/9/1 8:30,30,13,2v
2076457,2020/9/1 8:30,20,14,2w
2087983,2020/9/1 8:30,38,23,2x
1344416,2020/9/1 8:45,100,47,1a
1356002,2020/9/1 8:45,36,23,1b
1367688,2020/9/1 8:45,52,25,1c
1379423,2020/9/1 8:45,63,26,1d
1391358,2020/9/1 8:45,57,52,1e
1403211,2020/9/1 8:45,52,62,1f
1415000,2020/9/1 8:45,20,42,1g
1426649,2020/9/1 8:45,9,11,1h
1438364,2020/9/1 8:45,9,36,1i
1450130,2020/9/1 8:45,13,16,1j
1462087,2020/9/1 8:45,14,32,1k
1473810,2020/9/1 8:45,12,19,1l
1485499,2020/9/1 8:45,10,68,1m
1497153,2020/9/1 8:45,10,37,1n
1508661,2020/9/1 8:45,16,83,1o
1520270,2020/9/1 8:45,13,72,1p
1531881,2020/9/1 8:45,12,21,1q
1543748,2020/9/1 8:45,15,25,1r
1555454,2020/9/1 8:45,16,57,1s
1567313,2020/9/1 8:45,28,73,1t
1822561,2020/9/1 8:45,26,11,2a
1833945,2020/9/1 8:45,43,31,2b
1845530,2020/9/1 8:45,19,15,2c
1857079,2020/9/1 8:45,19,19,2d
1868792,2020/9/1 8:45,13,38,2e
1880538,2020/9/1 8:45,12,86,2f
1892257,2020/9/1 8:45,14,52,2g
1904052,2020/9/1 8:45,18,89,2h
1915723,2020/9/1 8:45,33,65,2i
1927229,2020/9/1 8:45,20,32,2j
1938716,2020/9/1 8:45,13,68,2k
1950228,2020/9/1 8:45,13,35,2l
1961686,2020/9/1 8:45,18,22,2m
1973132,2020/9/1 8:45,13,43,2n
1984555,2020/9/1 8:45,13,26,2o
1995929,2020/9/1 8:45,14,44,2p
2007418,2020/9/1 8:45,11,63,2q
2018956,2020/9/1 8:45,10,29,2r
2030396,2020/9/1 8:45,18,17,2s
2041835,2020/9/1 8:45,40,39,2t
2053412,2020/9/1 8:45,156,185,2u
2064950,2020/9/1 8:45,25,15,2v
2076458,2020/9/1 8:45,26,12,2w
2087984,2020/9/1 8:45,38,30,2x
1344417,2020/9/1 9:00,105,51,1a
1356003,2020/9/1 9:00,40,20,1b
1367689,2020/9/1 9:00,47,25,1c
1379424,2020/9/1 9:00,45,27,1d
1391359,2020/9/1 9:00,52,37,1e
1403212,2020/9/1 9:00,55,64,1f
1415001,2020/9/1 9:00,26,27,1g
1426650,2020/9/1 9:00,11,11,1h
1438365,2020/9/1 9:00,13,30,1i
1450131,2020/9/1 9:00,16,14,1j
1462088,2020/9/1 9:00,22,28,1k
1473811,2020/9/1 9:00,8,22,1l
1485500,2020/9/1 9:00,10,55,1m
1497154,2020/9/1 9:00,12,37,1n
1508662,2020/9/1 9:00,10,43,1o
1520271,2020/9/1 9:00,15,79,1p
1531882,2020/9/1 9:00,12,13,1q
1543749,2020/9/1 9:00,13,17,1r
1555455,2020/9/1 9:00,10,57,1s
1567314,2020/9/1 9:00,33,59,1t
1822562,2020/9/1 9:00,29,8,2a
1833946,2020/9/1 9:00,47,54,2b
1845531,2020/9/1 9:00,17,13,2c
1857080,2020/9/1 9:00,11,16,2d
1868793,2020/9/1 9:00,19,57,2e
1880539,2020/9/1 9:00,13,79,2f
1892258,2020/9/1 9:00,7,34,2g
1904053,2020/9/1 9:00,21,85,2h
1915724,2020/9/1 9:00,25,39,2i
1927230,2020/9/1 9:00,8,33,2j
1938717,2020/9/1 9:00,11,74,2k
1950229,2020/9/1 9:00,18,30,2l
1961687,2020/9/1 9:00,14,12,2m
1973133,2020/9/1 9:00,12,20,2n
1984556,2020/9/1 9:00,18,23,2o
1995930,2020/9/1 9:00,13,30,2p
2007419,2020/9/1 9:00,9,51,2q
2018957,2020/9/1 9:00,11,18,2r
2030397,2020/9/1 9:00,15,12,2s
2041836,2020/9/1 9:00,43,31,2t
2053413,2020/9/1 9:00,166,166,2u
2064951,2020/9/1 9:00,33,11,2v
2076459,2020/9/1 9:00,25,10,2w
2087985,2020/9/1 9:00,36,24,2x
1344418,2020/9/1 9:15,98,44,1a
1356004,2020/9/1 9:15,32,20,1b
1367690,2020/9/1 9:15,47,30,1c
1379425,2020/9/1 9:15,44,20,1d
1391360,2020/9/1 9:15,58,39,1e
1403213,2020/9/1 9:15,70,55,1f
1415002,2020/9/1 9:15,20,22,1g
1426651,2020/9/1 9:15,10,7,1h
1438366,2020/9/1 9:15,12,36,1i
1450132,2020/9/1 9:15,14,13,1j
1462089,2020/9/1 9:15,24,26,1k
1473812,2020/9/1 9:15,9,19,1l
1485501,2020/9/1 9:15,7,60,1m
1497155,2020/9/1 9:15,13,51,1n
1508663,2020/9/1 9:15,14,116,1o
1520272,2020/9/1 9:15,14,76,1p
1531883,2020/9/1 9:15,11,15,1q
1543750,2020/9/1 9:15,8,17,1r
1555456,2020/9/1 9:15,10,54,1s
1567315,2020/9/1 9:15,29,65,1t
1822563,2020/9/1 9:15,29,13,2a
1833947,2020/9/1 9:15,46,47,2b
1845532,2020/9/1 9:15,17,16,2c
1857081,2020/9/1 9:15,14,24,2d
1868794,2020/9/1 9:15,16,32,2e
1880540,2020/9/1 9:15,11,102,2f
1892259,2020/9/1 9:15,13,44,2g
1904054,2020/9/1 9:15,25,53,2h
1915725,2020/9/1 9:15,30,41,2i
1927231,2020/9/1 9:15,11,38,2j
1938718,2020/9/1 9:15,11,71,2k
1950230,2020/9/1 9:15,14,34,2l
1961688,2020/9/1 9:15,15,18,2m
1973134,2020/9/1 9:15,16,14,2n
1984557,2020/9/1 9:15,16,25,2o
1995931,2020/9/1 9:15,8,36,2p
2007420,2020/9/1 9:15,9,49,2q
2018958,2020/9/1 9:15,10,14,2r
2030398,2020/9/1 9:15,15,14,2s
2041837,2020/9/1 9:15,41,32,2t
2053414,2020/9/1 9:15,149,195,2u
2064952,2020/9/1 9:15,27,12,2v
2076460,2020/9/1 9:15,25,15,2w
2087986,2020/9/1 9:15,36,28,2x
1344419,2020/9/1 9:30,87,56,1a
1356005,2020/9/1 9:30,33,21,1b
1367691,2020/9/1 9:30,35,31,1c
1379426,2020/9/1 9:30,52,33,1d
1391361,2020/9/1 9:30,49,51,1e
1403214,2020/9/1 9:30,74,60,1f
1415003,2020/9/1 9:30,30,31,1g
1426652,2020/9/1 9:30,8,11,1h
1438367,2020/9/1 9:30,13,48,1i
1450133,2020/9/1 9:30,14,17,1j
1462090,2020/9/1 9:30,25,30,1k
1473813,2020/9/1 9:30,12,15,1l
1485502,2020/9/1 9:30,7,72,1m
1497156,2020/9/1 9:30,10,58,1n
1508664,2020/9/1 9:30,19,127,1o
1520273,2020/9/1 9:30,14,78,1p
1531884,2020/9/1 9:30,9,17,1q
1543751,2020/9/1 9:30,13,18,1r
